Movie_ID,Title,Genre,Budget_Millions,IMDB_Rating,User_Review,Box_Office_Millions
tt1000069,Movie Title 70,Romance,75.02,4.9,Started great but fell flat at the end. A thrilling ride from start to finish.,91.52
tt1000070,Movie Title 71,Comedy,94.64,6.3,Started great but fell flat at the end. CGI was awful and acting was wooden.,154.54
tt1000071,Movie Title 72,Thriller,48.5,5.2,"It was okay, but could have been better. Absolutely loved it!",13.99
tt1000072,Movie Title 73,Horror,43.3,5.1,"It was okay, but could have been better. Great acting and amazing visuals.",33.16
tt1000073,Movie Title 74,Horror,30.06,6.8,Started great but fell flat at the end. Highly recommend seeing this in theaters.,46.42
tt1000074,Movie Title 75,Action,164.01,6.8,"Good visuals, but weak story. Boring and uninspired.",158.24
tt1000075,Movie Title 76,Sci-Fi,248.01,6.6,"Some good moments, but largely forgettable. A complete waste of time.",185.01
tt1000076,Movie Title 77,Thriller,44.48,7.8,Absolutely loved it! Highly recommend seeing this in theaters.,93.18
tt1000077,Movie Title 78,Action,190.5,4.4,The plot made no sense. I fell asleep halfway through.,79.59
tt1000078,Movie Title 79,Action,211.87,7.0,"Some good moments, but largely forgettable. Highly recommend seeing this in theaters.",322.03
tt1000079,Movie Title 80,Horror,46.1,7.3,"Good visuals, but weak story. The plot made no sense.",155.84
tt1000080,Movie Title 81,Romance,81.85,8.5,Highly recommend seeing this in theaters. A thrilling ride from start to finish.,179.52
tt1000081,Movie Title 82,Thriller,40.81,6.0,"It was okay, but could have been better. Great acting and amazing visuals.",64.68
tt1000082,Movie Title 83,Thriller,21.9,6.7,started great but fell flat at the end. a masterpiece.,20.18
tt1000083,Movie Title 84,Thriller,6.62,10.0,Great acting and amazing visuals. Highly recommend seeing this in theaters.,7.02
tt1000084,Movie Title 85,Sci-Fi,107.31,5.9,"Some good moments, but largely forgettable. Worst movie I've seen recently.",130.46
tt1000085,Movie Title 86,Action,57.47,5.8,"It was okay, but could have been better. Highly recommend seeing this in theaters.",97.86
tt1000086,Movie Title 87,Thriller,10.72,8.8,The plot was gripping and the characters were so well-written. Great acting and amazing visuals.,19.64
tt1000087,Movie Title 88,Action,93.16,5.4,Started great but fell flat at the end. Boring and uninspired.,110.78
tt1000088,Movie Title 89,Thriller,7.33,10.0,Absolutely loved it! The plot was gripping and the characters were so well-written.,21.4
tt1000089,Movie Title 90,Comedy,67.37,3.5,A complete waste of time. Worst movie I've seen recently.,52.93
tt1000090,Movie Title 91,Thriller,40.78,5.8,An average popcorn flick. Highly recommend seeing this in theaters.,13.54
tt1000091,Movie Title 92,Comedy,17.06,7.3,"Good visuals, but weak story. The plot was gripping and the characters were so well-written.",32.15
tt1000092,Movie Title 93,Action,131.79,6.0,"Good visuals, but weak story. The plot made no sense.",137.17
tt1000093,Movie Title 94,Sci-Fi,100.05,9.1,One of the best movies of the year. Highly recommend seeing this in theaters.,203.31
tt1000094,Movie Title 95,Sci-Fi,182.04,7.1,"It was okay, but could have been better. Don't bother watching this.",407.56
tt1000095,Movie Title 96,Thriller,32.53,4.2,Don't bother watching this. Worst movie I've seen recently.,19.58
tt1000096,Movie Title 97,Thriller,21.02,6.1,"good visuals, but weak story. a thrilling ride from start to finish.",45.5
tt1000097,Movie Title 98,Comedy,18.81,1.6,CGI was awful and acting was wooden. Worst movie I've seen recently.,1.88
tt1000098,Movie Title 99,Action,84.64,3.5,I fell asleep halfway through. Worst movie I've seen recently.,8.46
tt1000099,Movie Title 100,Sci-Fi,173.17,5.8,"Some good moments, but largely forgettable. The plot made no sense.",213.58
tt1000100,Movie Title 101,Action,124.92,6.6,Started great but fell flat at the end. The plot was gripping and the characters were so well-written.,311.25
tt1000101,Movie Title 102,Drama,87.08,5.0,"It was okay, but could have been better. One of the best movies of the year.",107.69
tt1000102,Movie Title 103,Drama,16.35,6.2,Started great but fell flat at the end. Worst movie I've seen recently.,20.76
tt1000103,Movie Title 104,Horror,31.36,6.7,"It was okay, but could have been better. I fell asleep halfway through.",52.22
tt1000104,Movie Title 105,Comedy,44.94,5.6,Started great but fell flat at the end. A masterpiece.,97.56
tt1000105,Movie Title 106,Action,159.12,6.3,"Some good moments, but largely forgettable. Incredible performance by the lead.",246.42
tt1000106,Movie Title 107,Action,242.24,5.8,Started great but fell flat at the end. The plot made no sense.,304.7
tt1000107,Movie Title 108,Action,113.8,5.6,Started great but fell flat at the end. A complete waste of time.,176.15
tt1000108,Movie Title 109,Drama,20.63,7.9,Incredible performance by the lead. Highly recommend seeing this in theaters.,47.71
tt1000109,Movie Title 110,Comedy,88.97,7.7,Incredible performance by the lead. Incredible performance by the lead.,165.37
tt1000110,Movie Title 111,Comedy,35.38,7.3,"Some good moments, but largely forgettable. A complete waste of time.",39.29
tt1000111,Movie Title 112,Thriller,41.31,6.5,"It was okay, but could have been better. A complete waste of time.",55.86
tt1000112,Movie Title 113,Sci-Fi,124.4,5.5,"Some good moments, but largely forgettable. The plot made no sense.",209.02
tt1000113,Movie Title 114,Sci-Fi,236.15,6.2,"Good visuals, but weak story. Don't bother watching this.",421.31
tt1000114,Movie Title 115,Thriller,38.79,5.9,"Good visuals, but weak story. Great acting and amazing visuals.",50.75
tt1000115,Movie Title 116,Romance,91.23,8.5,The plot was gripping and the characters were so well-written. A masterpiece.,155.29
tt1000116,Movie Title 117,Thriller,19.4,6.1,"Good visuals, but weak story. A complete waste of time.",32.11
tt1000117,Movie Title 118,Comedy,10.98,7.0,"good visuals, but weak story. absolutely loved it!",14.62
tt1000118,Movie Title 119,Sci-Fi,240.12,9.4,A masterpiece. A thrilling ride from start to finish.,577.81
tt1000119,Movie Title 120,Comedy,50.36,5.0,An average popcorn flick. Don't bother watching this.,19.7
tt1000120,Movie Title 121,Comedy,70.53,7.7,Absolutely loved it! A masterpiece.,131.51
tt1000121,Movie Title 122,Comedy,81.07,6.5,"good visuals, but weak story. cgi was awful and acting was wooden.",68.72
tt1000122,Movie Title 123,Comedy,15.18,3.4,A complete waste of time. Don't bother watching this.,23.65
tt1000123,Movie Title 124,Sci-Fi,227.54,5.3,"Some good moments, but largely forgettable. The plot made no sense.",202.89
tt1000124,Movie Title 125,Sci-Fi,78.6,7.4,"Some good moments, but largely forgettable. Worst movie I've seen recently.",170.02
tt1000125,Movie Title 126,Horror,9.55,6.9,An average popcorn flick. The plot was gripping and the characters were so well-written.,10.7
tt1000126,Movie Title 127,Sci-Fi,64.55,7.3,An average popcorn flick. Terrible movie.,122.91
tt1000127,Movie Title 128,Thriller,8.66,4.3,I fell asleep halfway through. Don't bother watching this.,1.4
tt1000128,Movie Title 129,Drama,83.15,5.5,An average popcorn flick. Great acting and amazing visuals.,148.08
tt1000129,Movie Title 130,Comedy,17.52,7.0,Started great but fell flat at the end. The plot made no sense.,37.32
tt1000130,Movie Title 131,Horror,24.09,6.0,"It was okay, but could have been better. Highly recommend seeing this in theaters.",29.08
tt1000131,Movie Title 132,Sci-Fi,143.73,7.0,"good visuals, but weak story. incredible performance by the lead.",141.32
tt1000132,Movie Title 133,Sci-Fi,199.21,7.2,Started great but fell flat at the end. CGI was awful and acting was wooden.,297.27
tt1000133,Movie Title 134,Comedy,43.74,7.5,Incredible performance by the lead. Incredible performance by the lead.,57.14
tt1000134,Movie Title 135,Horror,15.06,6.6,"It was okay, but could have been better. I fell asleep halfway through.",27.3
tt1000135,Movie Title 136,Drama,99.37,6.6,Started great but fell flat at the end. I fell asleep halfway through.,93.68
tt1000136,Movie Title 137,Thriller,48.62,9.9,Incredible performance by the lead. One of the best movies of the year.,106.27
tt1000137,Movie Title 138,Drama,72.62,9.7,incredible performance by the lead. a thrilling ride from start to finish.,113.45
tt1000138,Movie Title 139,Drama,62.59,6.3,An average popcorn flick. The plot was gripping and the characters were so well-written.,109.83
tt1000139,Movie Title 140,Comedy,65.81,5.2,"Some good moments, but largely forgettable. Absolutely loved it!",49.25
tt1000140,Movie Title 141,Horror,25.87,8.0,Absolutely loved it! A masterpiece.,18.23
tt1000141,Movie Title 142,Comedy,17.0,7.0,an average popcorn flick. the plot was gripping and the characters were so well-written.,39.78
tt1000142,Movie Title 143,Sci-Fi,111.91,7.4,Started great but fell flat at the end. Incredible performance by the lead.,218.96
tt1000143,Movie Title 144,Drama,24.64,4.5,An average popcorn flick. Terrible movie.,44.83
tt1000144,Movie Title 145,Thriller,46.97,6.4,An average popcorn flick. Terrible movie.,53.4
tt1000145,Movie Title 146,Sci-Fi,212.11,3.9,Terrible movie. Terrible movie.,310.32
tt1000146,Movie Title 147,Drama,97.29,6.9,"Good visuals, but weak story. Great acting and amazing visuals.",148.08
tt1000147,Movie Title 148,Romance,52.18,4.1,Terrible movie. Terrible movie.,27.24
tt1000148,Movie Title 149,Comedy,15.07,6.9,"It was okay, but could have been better. Highly recommend seeing this in theaters.",23.05
tt1000149,Movie Title 150,Sci-Fi,249.94,6.5,"It was okay, but could have been better. Incredible performance by the lead.",331.19
tt1000150,Movie Title 151,Drama,79.21,6.0,Started great but fell flat at the end. The plot was gripping and the characters were so well-written.,32.2
tt1000151,Movie Title 152,Romance,21.62,6.7,"It was okay, but could have been better. The plot was gripping and the characters were so well-written.",34.45
tt1000152,Movie Title 153,Action,95.73,8.1,Absolutely loved it! Highly recommend seeing this in theaters.,228.68
tt1000153,Movie Title 154,Sci-Fi,121.63,7.0,an average popcorn flick. incredible performance by the lead.,124.73
tt1000154,Movie Title 155,Romance,56.83,6.7,"Good visuals, but weak story. One of the best movies of the year.",119.91
tt1000155,Movie Title 156,Drama,86.7,9.6,A masterpiece. Absolutely loved it!,242.39
tt1000156,Movie Title 157,Sci-Fi,225.33,5.0,Started great but fell flat at the end. Great acting and amazing visuals.,193.64
tt1000157,Movie Title 158,Drama,12.59,7.5,"It was okay, but could have been better. Worst movie I've seen recently.",27.42
tt1000158,Movie Title 159,Action,190.82,5.8,An average popcorn flick. Boring and uninspired.,190.58
tt1000159,Movie Title 160,Thriller,5.65,8.1,A thrilling ride from start to finish. Great acting and amazing visuals.,4.17
tt1000160,Movie Title 161,Romance,45.3,7.8,Highly recommend seeing this in theaters. A thrilling ride from start to finish.,67.83
tt1000161,Movie Title 162,Thriller,20.67,8.8,Highly recommend seeing this in theaters. The plot was gripping and the characters were so well-written.,36.96
tt1000162,Movie Title 163,Thriller,22.84,8.0,A masterpiece. Highly recommend seeing this in theaters.,40.2
tt1000163,Movie Title 164,Comedy,95.46,3.9,Don't bother watching this. CGI was awful and acting was wooden.,72.66
tt1000164,Movie Title 165,Sci-Fi,141.83,6.5,Started great but fell flat at the end. The plot was gripping and the characters were so well-written.,212.7
tt1000165,Movie Title 166,Drama,39.59,4.5,Started great but fell flat at the end. The plot made no sense.,49.23
tt1000166,Movie Title 167,Horror,8.41,4.8,Started great but fell flat at the end. Absolutely loved it!,10.21
tt1000167,Movie Title 168,Comedy,41.11,6.4,"It was okay, but could have been better. A thrilling ride from start to finish.",72.3
tt1000168,Movie Title 169,Sci-Fi,183.51,5.8,"Some good moments, but largely forgettable. A thrilling ride from start to finish.",170.33
tt1000169,Movie Title 170,Romance,13.68,5.7,An average popcorn flick. CGI was awful and acting was wooden.,10.18
tt1000170,Movie Title 171,Action,85.4,4.3,I fell asleep halfway through. Boring and uninspired.,66.1
tt1000171,Movie Title 172,Comedy,42.78,9.4,Highly recommend seeing this in theaters. The plot was gripping and the characters were so well-written.,81.59
tt1000172,Movie Title 173,Horror,6.77,7.3,Started great but fell flat at the end. Worst movie I've seen recently.,13.92
tt1000173,Movie Title 174,Horror,8.68,6.3,Started great but fell flat at the end. Boring and uninspired.,10.03
tt1000174,Movie Title 175,Drama,82.56,5.4,Started great but fell flat at the end. Terrible movie.,113.01
tt1000175,Movie Title 176,Romance,28.84,6.1,"Good visuals, but weak story. The plot made no sense.",2.88
tt1000176,Movie Title 177,Horror,32.82,5.6,"Good visuals, but weak story. Incredible performance by the lead.",3.28
tt1000177,Movie Title 178,Sci-Fi,199.49,7.4,Started great but fell flat at the end. A complete waste of time.,324.89
tt1000178,Movie Title 179,Thriller,28.03,5.0,"Good visuals, but weak story. A complete waste of time.",29.37
tt1000179,Movie Title 180,Comedy,50.27,4.1,I fell asleep halfway through. Terrible movie.,46.24
tt1000180,Movie Title 181,Comedy,34.23,6.2,Started great but fell flat at the end. A masterpiece.,41.76
tt1000181,Movie Title 182,Horror,19.49,5.5,Started great but fell flat at the end. Highly recommend seeing this in theaters.,11.02
tt1000182,Movie Title 183,Thriller,10.39,6.8,An average popcorn flick. One of the best movies of the year.,18.92
tt1000183,Movie Title 184,Horror,35.56,6.5,Started great but fell flat at the end. Don't bother watching this.,72.46
tt1000184,Movie Title 185,Drama,17.82,10.0,Great acting and amazing visuals. Absolutely loved it!,44.69
tt1000185,Movie Title 186,Thriller,38.54,4.9,An average popcorn flick. One of the best movies of the year.,34.45
tt1000186,Movie Title 187,Sci-Fi,106.76,8.6,A thrilling ride from start to finish. A masterpiece.,113.58
tt1000187,Movie Title 188,Comedy,61.37,4.4,the plot made no sense. i fell asleep halfway through.,71.31
tt1000188,Movie Title 189,Comedy,19.16,5.8,"It was okay, but could have been better. Worst movie I've seen recently.",16.28
tt1000189,Movie Title 190,Thriller,12.23,5.6,"Some good moments, but largely forgettable. A thrilling ride from start to finish.",8.44
tt1000190,Movie Title 191,Sci-Fi,84.67,2.7,Don't bother watching this. Don't bother watching this.,75.49
tt1000191,Movie Title 192,Horror,49.21,6.1,An average popcorn flick. A complete waste of time.,38.11
tt1000192,Movie Title 193,Action,243.89,6.9,"Some good moments, but largely forgettable. One of the best movies of the year.",367.79
tt1000193,Movie Title 194,Comedy,33.21,7.3,"Good visuals, but weak story. Terrible movie.",31.93
tt1000194,Movie Title 195,Comedy,93.64,9.6,One of the best movies of the year. Great acting and amazing visuals.,254.97
tt1000195,Movie Title 196,Comedy,35.2,5.5,"It was okay, but could have been better. Worst movie I've seen recently.",48.8
tt1000196,Movie Title 197,Horror,19.57,6.9,an average popcorn flick. a complete waste of time.,1.96
tt1000197,Movie Title 198,Drama,31.82,6.9,started great but fell flat at the end. cgi was awful and acting was wooden.,29.45
tt1000198,Movie Title 199,Comedy,35.98,4.8,Started great but fell flat at the end. Incredible performance by the lead.,39.29
tt1000199,Movie Title 200,Horror,26.65,5.5,"Good visuals, but weak story. Highly recommend seeing this in theaters.",30.07
tt1000200,Movie Title 201,Thriller,20.15,5.6,"good visuals, but weak story. great acting and amazing visuals.",30.21
tt1000201,Movie Title 202,Thriller,35.67,7.3,Started great but fell flat at the end. A complete waste of time.,77.75
tt1000202,Movie Title 203,Sci-Fi,144.32,3.8,I fell asleep halfway through. CGI was awful and acting was wooden.,36.46
tt1000203,Movie Title 204,Horror,46.83,7.1,"Some good moments, but largely forgettable. Don't bother watching this.",51.95
tt1000204,Movie Title 205,Horror,47.23,7.2,"It was okay, but could have been better. Worst movie I've seen recently.",105.62
tt1000205,Movie Title 206,Horror,42.88,7.0,started great but fell flat at the end. absolutely loved it!,51.26
tt1000206,Movie Title 207,Romance,28.15,6.0,"Some good moments, but largely forgettable. Absolutely loved it!",29.41
tt1000207,Movie Title 208,Romance,83.31,6.9,Started great but fell flat at the end. A masterpiece.,202.0
tt1000208,Movie Title 209,Comedy,42.29,6.1,An average popcorn flick. CGI was awful and acting was wooden.,71.59
tt1000209,Movie Title 210,Comedy,83.49,3.4,CGI was awful and acting was wooden. Don't bother watching this.,15.41
tt1000210,Movie Title 211,Sci-Fi,142.54,8.1,The plot was gripping and the characters were so well-written. Incredible performance by the lead.,170.15
tt1000211,Movie Title 212,Thriller,27.62,7.0,"Good visuals, but weak story. The plot made no sense.",35.59
tt1000212,Movie Title 213,Sci-Fi,126.78,7.8,Highly recommend seeing this in theaters. Incredible performance by the lead.,204.81
tt1000213,Movie Title 214,Horror,33.09,4.3,terrible movie. don't bother watching this.,47.26
tt1000214,Movie Title 215,Drama,22.53,7.3,Started great but fell flat at the end. One of the best movies of the year.,46.79
tt1000215,Movie Title 216,Sci-Fi,156.69,6.8,"Some good moments, but largely forgettable. Absolutely loved it!",231.7
tt1000216,Movie Title 217,Horror,11.83,4.9,an average popcorn flick. worst movie i've seen recently.,6.67
tt1000217,Movie Title 218,Horror,38.48,6.6,Started great but fell flat at the end. Don't bother watching this.,41.66
tt1000218,Movie Title 219,Thriller,39.31,6.0,"It was okay, but could have been better. Incredible performance by the lead.",63.3
tt1000219,Movie Title 220,Comedy,83.91,6.1,Started great but fell flat at the end. CGI was awful and acting was wooden.,61.23
tt1000220,Movie Title 221,Sci-Fi,209.46,5.9,"It was okay, but could have been better. Absolutely loved it!",187.56
tt1000221,Movie Title 222,Horror,37.5,7.8,One of the best movies of the year. Great acting and amazing visuals.,83.95
tt1000222,Movie Title 223,Action,188.79,4.1,CGI was awful and acting was wooden. A complete waste of time.,179.5
tt1000223,Movie Title 224,Thriller,20.56,3.8,A complete waste of time. Don't bother watching this.,31.13
tt1000224,Movie Title 225,Romance,51.58,6.8,"Good visuals, but weak story. Don't bother watching this.",138.03
tt1000225,Movie Title 226,Drama,65.03,6.7,"Some good moments, but largely forgettable. Terrible movie.",110.27
tt1000226,Movie Title 227,Sci-Fi,189.33,6.8,An average popcorn flick. A thrilling ride from start to finish.,300.3
tt1000227,Movie Title 228,Comedy,23.73,9.3,Incredible performance by the lead. One of the best movies of the year.,60.21
tt1000228,Movie Title 229,Horror,24.09,6.8,"Good visuals, but weak story. Great acting and amazing visuals.",33.85
tt1000229,Movie Title 230,Thriller,46.65,5.0,An average popcorn flick. The plot made no sense.,43.86
tt1000230,Movie Title 231,Horror,49.32,10.0,Highly recommend seeing this in theaters. Absolutely loved it!,111.56
tt1000231,Movie Title 232,Drama,45.91,6.3,"Some good moments, but largely forgettable. Don't bother watching this.",47.71
tt1000232,Movie Title 233,Sci-Fi,210.57,7.8,A thrilling ride from start to finish. The plot was gripping and the characters were so well-written.,83.24
tt1000233,Movie Title 234,Thriller,46.39,4.6,"Some good moments, but largely forgettable. I fell asleep halfway through.",12.32
tt1000234,Movie Title 235,Drama,76.38,4.2,Boring and uninspired. Boring and uninspired.,54.9
tt1000235,Movie Title 236,Comedy,50.72,6.1,An average popcorn flick. A masterpiece.,55.28
tt1000236,Movie Title 237,Sci-Fi,149.67,7.7,Incredible performance by the lead. Incredible performance by the lead.,218.93
tt1000237,Movie Title 238,Thriller,21.31,9.3,Great acting and amazing visuals. A thrilling ride from start to finish.,51.52
tt1000238,Movie Title 239,Comedy,11.18,5.0,"Some good moments, but largely forgettable. The plot made no sense.",14.01
tt1000239,Movie Title 240,Thriller,48.25,6.1,An average popcorn flick. One of the best movies of the year.,32.14
tt1000240,Movie Title 241,Sci-Fi,67.07,6.5,"It was okay, but could have been better. Highly recommend seeing this in theaters.",92.51
tt1000241,Movie Title 242,Romance,63.58,6.5,"Good visuals, but weak story. Great acting and amazing visuals.",82.16
tt1000242,Movie Title 243,Drama,28.89,6.3,Started great but fell flat at the end. I fell asleep halfway through.,38.8
tt1000243,Movie Title 244,Thriller,13.58,6.5,Started great but fell flat at the end. I fell asleep halfway through.,13.83
tt1000244,Movie Title 245,Romance,60.84,8.6,A thrilling ride from start to finish. Absolutely loved it!,23.54
tt1000245,Movie Title 246,Comedy,49.67,8.4,Highly recommend seeing this in theaters. One of the best movies of the year.,31.65
tt1000246,Movie Title 247,Sci-Fi,81.05,6.9,"It was okay, but could have been better. One of the best movies of the year.",102.08
tt1000247,Movie Title 248,Romance,95.15,4.4,i fell asleep halfway through. terrible movie.,46.51
tt1000248,Movie Title 249,Thriller,33.98,6.0,"It was okay, but could have been better. A complete waste of time.",39.3
tt1000249,Movie Title 250,Sci-Fi,81.23,7.9,Great acting and amazing visuals. One of the best movies of the year.,180.05
tt1000250,Movie Title 251,Horror,6.22,5.4,"Good visuals, but weak story. The plot was gripping and the characters were so well-written.",4.51
tt1000251,Movie Title 252,Horror,35.24,5.7,An average popcorn flick. A thrilling ride from start to finish.,48.88
tt1000252,Movie Title 253,Horror,34.37,6.0,"Good visuals, but weak story. A thrilling ride from start to finish.",37.13
tt1000253,Movie Title 254,Drama,31.89,7.6,A thrilling ride from start to finish. Highly recommend seeing this in theaters.,55.33
